"","method","date","ret"
"251","EUROSTOXX",2017-02-09,-0.192699526001853
"252","EUROSTOXX",2017-02-10,-0.475545121647661
"253","EUROSTOXX",2017-02-13,0.688797293796999
"254","EUROSTOXX",2017-02-14,0.870754456551195
"255","EUROSTOXX",2017-02-15,1.24254804786659
"256","EUROSTOXX",2017-02-16,0.802330720150655
"257","EUROSTOXX",2017-02-17,0.565896907998669
"258","EUROSTOXX",2017-02-21,1.21610637877804
"259","EUROSTOXX",2017-02-22,1.22243556000676
"260","EUROSTOXX",2017-02-23,1.17914035775522
"261","EUROSTOXX",2017-02-24,0.223084608502188
"262","EUROSTOXX",2017-02-27,0.464096538747421
"263","EUROSTOXX",2017-02-28,0.791115973850746
"264","EUROSTOXX",2017-03-01,2.87379398588228
"265","EUROSTOXX",2017-03-02,2.87967012472321
"266","EUROSTOXX",2017-03-03,3.41509327875061
"267","EUROSTOXX",2017-03-06,2.92672396639554
"268","EUROSTOXX",2017-03-07,2.79542472503647
"269","EUROSTOXX",2017-03-08,2.82135818194816
"270","EUROSTOXX",2017-03-09,3.39357741632016
"271","EUROSTOXX",2017-03-10,3.55604784339194
"272","EUROSTOXX",2017-03-13,3.61762364314974
"273","EUROSTOXX",2017-03-14,3.12606566409155
"274","EUROSTOXX",2017-03-15,3.29325107435942
"275","EUROSTOXX",2017-03-16,4.12143440039714
"276","EUROSTOXX",2017-03-17,4.49221045478598
"277","EUROSTOXX",2017-03-20,4.28656119053381
"278","EUROSTOXX",2017-03-21,3.78469695778605
"279","EUROSTOXX",2017-03-22,3.57913005589461
"280","EUROSTOXX",2017-03-23,3.4048131401135
"281","HANG_SHENG",2017-01-03,1.14572973608392
"282","HANG_SHENG",2017-01-04,1.24468877349273
"283","HANG_SHENG",2017-01-05,2.4485512486591
"284","HANG_SHENG",2017-01-06,2.58643130928134
"285","HANG_SHENG",2017-01-09,3.23474254230451
"286","HANG_SHENG",2017-01-10,4.37089080278918
"287","HANG_SHENG",2017-01-11,5.3191471742575
"288","HANG_SHENG",2017-01-12,5.01810285068936
"289","HANG_SHENG",2017-01-13,5.62404462793536
"290","HANG_SHENG",2017-01-17,6.04808781959454
"291","HANG_SHENG",2017-01-18,7.2453826399353
"292","HANG_SHENG",2017-01-19,6.53633007210765
"293","HANG_SHENG",2017-01-20,5.88307294450292
"294","HANG_SHENG",2017-01-23,6.01126034178224
"295","HANG_SHENG",2017-01-24,6.51682660769854
"296","HANG_SHENG",2017-01-25,6.8276208137592
"297","HANG_SHENG",2017-01-26,8.00396592935725
"298","HANG_SHENG",2017-01-27,8.01714627868102
